experiment,module,representation,method,detector,split,seed,raw_auc,auc_floor,direction,ci_low,ci_high,ci_type,clears_size_floor,clears_ocpool,is_headline,is_superseded,artifact_path,summary_path,trace_flag
devread,devread,RAW_node_only_trained_t22,supervised,HGB,splitA_stratified,42,0.9564664163537756,0.9564664163537756,malware_higher_score,0.938086670838548,0.9711942010846891,score_bootstrap,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,RAW_node_only_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.959194826866917,0.959194826866917,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,RAW_adj_only_trained_t22,supervised,HGB,splitA_stratified,42,0.9593241551939926,0.9593241551939926,malware_higher_score,0.9426984251147267,0.9737494785148102,score_bootstrap,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,RAW_adj_only_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.959770546516479,0.959770546516479,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
supgnn,supgnn,T22_mean,M1_full,GIN_mean_seeds,splitA_stratified,42-46,0.8837505214851898,0.8837505214851898,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_mean,M2_no_edges,GIN_mean_seeds,splitA_stratified,42-46,0.8999624530663329,0.8999624530663329,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_mean,M3_const_feats,GIN_mean_seeds,splitA_stratified,42-46,0.5902565707133918,0.5902565707133918,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M1_full,GIN_mean_seeds,splitA_stratified,42-46,0.8690070921985816,0.8690070921985816,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M2_no_edges,GIN_mean_seeds,splitA_stratified,42-46,0.8975177304964539,0.8975177304964539,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M3_const_feats,GIN_mean_seeds,splitA_stratified,42-46,0.5788902795160618,0.5788902795160618,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_max,M1_full,GIN_mean_seeds,splitA_stratified,42-46,0.8765123070504798,0.8765123070504798,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
